complaint_text,complainant,accused
Formal complaint by Shri Rajesh Jain accusing Ranchi SP of corruption.,Shri Rajesh Jain,Ranchi SP
Press Club of India raised concerns regarding behaviour of Police Constable.,Press Club of India,Police Constable
A complaint has been registered by Editor of The Daily News against Delhi Police for misconduct.,Editor of The Daily News,Delhi Police
Complaint submitted by Journalists Association of Delhi alleging harassment by Zonal Commissioner.,Journalists Association of Delhi,Zonal Commissioner
Complaint filed by Mr. Arvind Yadav against Traffic Police Officer for abuse of power.,Mr. Arvind Yadav,Traffic Police Officer
Formal complaint by Ms. Priya Sharma accusing Local MLA of corruption.,Ms. Priya Sharma,Local MLA
Shri Aman Verma has accused Inspector General of unlawful conduct.,Shri Aman Verma,Inspector General
"According to Mr. Arvind Yadav, District Magistrate obstructed journalistic activities.",Mr. Arvind Yadav,District Magistrate
"According to Advocate Rakesh Kumar, Rajkot Collector obstructed journalistic activities.",Advocate Rakesh Kumar,Rajkot Collector
A complaint has been registered by Media Council of India against Rajkot Collector for misconduct.,Media Council of India,Rajkot Collector
Formal complaint by Journalists Association of Delhi accusing Local MLA of corruption.,Journalists Association of Delhi,Local MLA
Suo-Motu cognizance with regard to Zonal Commissioner allegedly bribing Advocate Rakesh Kumar for media coverage.,Advocate Rakesh Kumar,Zonal Commissioner
Suo-Motu cognizance with regard to an incident involving Political Party Worker and Shri Aman Verma.,Shri Aman Verma,Political Party Worker
A complaint has been registered by Shri Aman Verma against Police Constable for misconduct.,Shri Aman Verma,Police Constable
Formal complaint by Ms. Priya Sharma accusing Delhi Police of corruption.,Ms. Priya Sharma,Delhi Police
Ms. Priya Sharma filed a report against Local MLA citing threats and intimidation.,Ms. Priya Sharma,Local MLA
"According to Mr. Rahul Tiwari, Media House Owner obstructed journalistic activities.",Mr. Rahul Tiwari,Media House Owner
Smt. Rekha Singh has accused Rajkot Collector of unlawful conduct.,Smt. Rekha Singh,Rajkot Collector
Suo-Motu cognizance with regard to Inspector General allegedly attacking Shri Rajesh Jain.,Shri Rajesh Jain,Inspector General
Suo-Motu cognizance with regard to District Magistrate allegedly attacking Media Council of India.,Media Council of India,District Magistrate
Formal complaint by Press Club of India accusing Government Official of corruption.,Press Club of India,Government Official
A complaint has been registered by Press Club of India against Media House Owner for misconduct.,Press Club of India,Media House Owner
A complaint has been registered by Journalists Association of Delhi against Zonal Commissioner for misconduct.,Journalists Association of Delhi,Zonal Commissioner
Smt. Sunita Gupta lodged a complaint against State Education Minister with the authorities.,Smt. Sunita Gupta,State Education Minister
Mr. Rahul Tiwari filed a report against Local MLA citing threats and intimidation.,Mr. Rahul Tiwari,Local MLA
Complaint filed by Shri Aman Verma against Local MLA for abuse of power.,Shri Aman Verma,Local MLA
Ms. Neha Dubey raised concerns regarding behaviour of Inspector General.,Ms. Neha Dubey,Inspector General
Suo-Motu cognizance in the case of State Education Minister allegedly threatening Advocate Rakesh Kumar.,Advocate Rakesh Kumar,State Education Minister
Suo-Motu cognizance regarding misconduct by Police Constable involving Ms. Priya Sharma.,Ms. Priya Sharma,Police Constable
A complaint has been registered by Mr. Rahul Tiwari against Political Party Worker for misconduct.,Mr. Rahul Tiwari,Political Party Worker
Shri Aman Verma has accused Block Development Officer of unlawful conduct.,Shri Aman Verma,Block Development Officer
Mr. Rahul Tiwari filed a report against Local MLA citing threats and intimidation.,Mr. Rahul Tiwari,Local MLA
Complaint submitted by Smt. Rekha Singh alleging harassment by Local MLA.,Smt. Rekha Singh,Local MLA
Complaint filed by Smt. Rekha Singh against Block Development Officer for abuse of power.,Smt. Rekha Singh,Block Development Officer
Smt. Sunita Gupta lodged a complaint against Zonal Commissioner with the authorities.,Smt. Sunita Gupta,Zonal Commissioner
Shri Aman Verma has accused Delhi Police of unlawful conduct.,Shri Aman Verma,Delhi Police
Suo-Motu cognizance with regard to Police Constable allegedly harassing Press Club of India during coverage of an event.,Press Club of India,Police Constable
Complaint submitted by Journalists Association of Delhi alleging harassment by Ranchi SP.,Journalists Association of Delhi,Ranchi SP
Media Council of India has accused Inspector General of unlawful conduct.,Media Council of India,Inspector General
Formal complaint by Shri Rajesh Jain accusing Ranchi SP of corruption.,Shri Rajesh Jain,Ranchi SP
Complaint submitted by Smt. Sunita Gupta alleging harassment by Rajkot Collector.,Smt. Sunita Gupta,Rajkot Collector
Press Club of India raised concerns regarding behaviour of State Education Minister.,Press Club of India,State Education Minister
Formal complaint by Mr. Arvind Yadav accusing State Education Minister of corruption.,Mr. Arvind Yadav,State Education Minister
National Human Rights Commission has accused Traffic Police Officer of unlawful conduct.,National Human Rights Commission,Traffic Police Officer
Formal complaint by Ms. Priya Sharma accusing Media House Owner of corruption.,Ms. Priya Sharma,Media House Owner
Smt. Rekha Singh raised concerns regarding behaviour of Police Constable.,Smt. Rekha Singh,Police Constable
"According to Press Club of India, Zonal Commissioner obstructed journalistic activities.",Press Club of India,Zonal Commissioner
Formal complaint by Media Council of India accusing Tehsildar of corruption.,Media Council of India,Tehsildar
Suo-Motu cognizance with regard to Zonal Commissioner allegedly harassing Ms. Neha Dubey during coverage of an event.,Ms. Neha Dubey,Zonal Commissioner
Advocate Rakesh Kumar filed a report against Traffic Police Officer citing threats and intimidation.,Advocate Rakesh Kumar,Traffic Police Officer
Suo-Motu cognizance with regard to Rajkot Collector allegedly bribing Media Council of India for media coverage.,Media Council of India,Rajkot Collector
Mr. Rahul Tiwari filed a report against State Education Minister citing threats and intimidation.,Mr. Rahul Tiwari,State Education Minister
Formal complaint by Mr. Arvind Yadav accusing State Education Minister of corruption.,Mr. Arvind Yadav,State Education Minister
Suo-Motu cognizance with regard to an incident involving District Magistrate and Ms. Neha Dubey.,Ms. Neha Dubey,District Magistrate
Ms. Priya Sharma raised concerns regarding behaviour of Political Party Worker.,Ms. Priya Sharma,Political Party Worker
Formal complaint by National Human Rights Commission accusing Local MLA of corruption.,National Human Rights Commission,Local MLA
Suo-Motu cognizance in the case of Ranchi SP allegedly threatening Media Council of India.,Media Council of India,Ranchi SP
Formal complaint by Editor of The Daily News accusing Tehsildar of corruption.,Editor of The Daily News,Tehsildar
Shri Rajesh Jain lodged a complaint against Rajkot Collector with the authorities.,Shri Rajesh Jain,Rajkot Collector
Suo-Motu cognizance with regard to State Education Minister allegedly attacking Press Club of India.,Press Club of India,State Education Minister
Formal complaint by Mr. Arvind Yadav accusing Government Official of corruption.,Mr. Arvind Yadav,Government Official
National Human Rights Commission raised concerns regarding behaviour of Tehsildar.,National Human Rights Commission,Tehsildar
Suo-Motu cognizance with regard to Traffic Police Officer allegedly bribing Mr. Arvind Yadav for media coverage.,Mr. Arvind Yadav,Traffic Police Officer
Suo-Motu cognizance with regard to Block Development Officer allegedly harassing Press Club of India during coverage of an event.,Press Club of India,Block Development Officer
Ms. Neha Dubey filed a report against Political Party Worker citing threats and intimidation.,Ms. Neha Dubey,Political Party Worker
Suo-Motu cognizance with regard to Media House Owner allegedly harassing Mr. Rahul Tiwari during coverage of an event.,Mr. Rahul Tiwari,Media House Owner
Shri Rajesh Jain raised concerns regarding behaviour of Tehsildar.,Shri Rajesh Jain,Tehsildar
Suo-Motu cognizance in the case of Inspector General allegedly threatening Editor of The Daily News.,Editor of The Daily News,Inspector General
Shri Aman Verma raised concerns regarding behaviour of State Education Minister.,Shri Aman Verma,State Education Minister
Advocate Rakesh Kumar raised concerns regarding behaviour of Ranchi SP.,Advocate Rakesh Kumar,Ranchi SP
Complaint filed by Smt. Rekha Singh against Inspector General for abuse of power.,Smt. Rekha Singh,Inspector General
Formal complaint by Ms. Priya Sharma accusing Rajkot Collector of corruption.,Ms. Priya Sharma,Rajkot Collector
Complaint submitted by Journalists Association of Delhi alleging harassment by Rajkot Collector.,Journalists Association of Delhi,Rajkot Collector
Mr. Rahul Tiwari raised concerns regarding behaviour of Political Party Worker.,Mr. Rahul Tiwari,Political Party Worker
Complaint submitted by Journalists Association of Delhi alleging harassment by Government Official.,Journalists Association of Delhi,Government Official
Suo-Motu cognizance regarding misconduct by Police Constable involving Media Council of India.,Media Council of India,Police Constable
National Human Rights Commission has accused Zonal Commissioner of unlawful conduct.,National Human Rights Commission,Zonal Commissioner
Complaint filed by Shri Aman Verma against Zonal Commissioner for abuse of power.,Shri Aman Verma,Zonal Commissioner
"According to Journalists Association of Delhi, Political Party Worker obstructed journalistic activities.",Journalists Association of Delhi,Political Party Worker
"According to Mr. Arvind Yadav, Local MLA obstructed journalistic activities.",Mr. Arvind Yadav,Local MLA
National Human Rights Commission filed a report against Government Official citing threats and intimidation.,National Human Rights Commission,Government Official
Complaint submitted by Shri Aman Verma alleging harassment by Zonal Commissioner.,Shri Aman Verma,Zonal Commissioner
Complaint filed by Shri Aman Verma against Tehsildar for abuse of power.,Shri Aman Verma,Tehsildar
Complaint filed by Smt. Rekha Singh against Tehsildar for abuse of power.,Smt. Rekha Singh,Tehsildar
A complaint has been registered by Mr. Arvind Yadav against Political Party Worker for misconduct.,Mr. Arvind Yadav,Political Party Worker
Complaint filed by Editor of The Daily News against State Education Minister for abuse of power.,Editor of The Daily News,State Education Minister
Suo-Motu cognizance with regard to Inspector General allegedly attacking Shri Rajesh Jain.,Shri Rajesh Jain,Inspector General
Advocate Rakesh Kumar has accused Political Party Worker of unlawful conduct.,Advocate Rakesh Kumar,Political Party Worker
Ms. Priya Sharma lodged a complaint against Media House Owner with the authorities.,Ms. Priya Sharma,Media House Owner
